location,lat,lon
"Kalyani Nagar, Pune, Maharashtra, India",18.5462313,73.90395099999999
"Navale Bridge, Katraj-Dehu Road Bypass, Pune, Maharashtra, India",18.45476,73.828041
"Bund Garden Metro Station, Pune, Maharashtra, India",18.5401853,73.883181
"Nalge Vasti, Shirur-Nhavare Road, Pune, Maharashtra, India",18.6627708,74.369084
"""14 Number"" Area, Narayangaon Highway, Pune, Maharashtra, India",18.5246091,73.8786239
"Waghjai Temple, Mulkhed–Maan-Hinjewadi Road, Pune, Maharashtra, India",18.5909041,73.7507266
"Bhaji Mandai Chowk, NDA Road, Uttamnagar, Pune, Maharashtra, India",18.4735982,73.7932857
"Near Adoshi Tunnel, Mumbai-Pune Expressway, Pune, Maharashtra, India",18.7693125,73.4043386
"Mumbai-Bengaluru Highway, Pune, Maharashtra, India",18.5026575,73.7925641
"Near Pavana Dam, Maval, Pune, Maharashtra, India",18.6815532,73.4950678
"Aundh-Baner Road, Pune, Maharashtra, India",18.5631374,73.8099917
"Amrutanjan Bridge, Mumbai-Pune Expressway, Pune, Maharashtra, India",18.7665756,73.3597925
"Ferguson College (FC) Road, Pune, Maharashtra, India",18.5228446,73.83896779999999
"Ravet, Pimpri-Chinchwad, Pune, Maharashtra, India",18.6606495,73.73215850000001
"Mundhwa-Koregaon Park Road, Pune, Maharashtra, India",18.5343675,73.8856909
"Pashan-Sus Road, Pune, Maharashtra, India",18.5454191,73.7777885
"Indapur High Street, Pune-Solapur Highway, Pune, Maharashtra, India",18.5032043,73.9243079
"Katraj-Dehu Road Bypass, Pune, Maharashtra, India",18.5057992,73.7920547
"Junnar Taluka, near Shivneri Fort, Pune, Maharashtra, India",19.2047767,73.8731689
"Hadapsar Flyover, Pune, Maharashtra, India",18.5007158,73.93931359999999
"Borghat Section, Mumbai-Pune Expressway, Pune, Maharashtra, India",18.7693125,73.4043386
"Saswad-Jejuri Road, Pune, Maharashtra, India",18.4842269,73.95366
"Kalyan-Ahmednagar Highway, Otur, Pune, Maharashtra, India",18.5621306,73.923209
"Vishrantwadi Chowk, Pune, Maharashtra, India",18.5723961,73.8786076
